City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Kamenka,RU,2022-07-22 09:11:03,51.3223,42.7678,60.53,86,100,7.61
151,Boden,SE,2022-07-22 09:11:04,65.8252,21.6886,66.2,37,38,10.58
152,Manado,ID,2022-07-22 09:11:04,1.487,124.8455,88.57,62,20,4.61
153,Tautira,PF,2022-07-22 09:11:04,-17.7333,-149.15,75.78,78,30,13.24
154,Los Llanos De Aridane,ES,2022-07-22 09:11:04,28.6585,-17.9182,69.55,73,20,18.41
155,Bentong,MY,2022-07-22 09:11:05,3.5181,101.9079,84.78,76,99,2.42
156,Fuyang,CN,2022-07-22 09:11:05,32.9,115.8167,91.45,68,94,11.25
157,Khorixas,NA,2022-07-22 09:11:05,-20.3667,14.9667,76.15,22,0,14.63
158,Westport,US,2022-07-22 09:11:06,41.1415,-73.3579,76.89,88,40,1.01
159,Cabo San Lucas,MX,2022-07-22 09:06:10,22.8909,-109.9124,86.61,74,0,13.8
160,Riyadh,SA,2022-07-22 09:11:07,24.6877,46.7219,109.54,9,31,17.63
161,Labytnangi,RU,2022-07-22 09:11:07,66.6572,66.4183,49.71,70,100,8.81
162,Hasaki,JP,2022-07-22 09:11:07,35.7333,140.8333,86.4,90,13,18.32
163,Weener,DE,2022-07-22 09:11:07,53.1667,7.35,64.02,77,100,8.43
164,Osypenko,UA,2022-07-22 09:11:08,46.9136,36.8253,80.33,37,30,13.31
165,Mar Del Plata,AR,2022-07-22 09:11:09,-38.0023,-57.5575,48.94,58,64,4.0
166,San Quintin,MX,2022-07-22 09:11:09,30.4833,-115.95,67.05,88,31,8.01
167,Tavda,RU,2022-07-22 09:11:09,58.0425,65.2726,70.7,49,72,7.02
168,Kindu,CD,2022-07-22 09:11:09,-2.95,25.95,90.18,36,97,2.71
169,Chuy,UY,2022-07-22 09:11:10,-33.6971,-53.4616,53.8,90,86,2.59
170,Timra,SE,2022-07-22 09:11:10,62.487,17.3257,66.67,55,0,10.36
171,Rimavska Sobota,SK,2022-07-22 09:11:10,48.3828,20.0224,90.55,24,94,4.63
